
Typ,Nazwa,h [mm],b [mm],tf [mm],tw [mm],A [cm²],Iy [cm⁴],Wy [cm³],Iz [cm⁴],Wz [cm³]
IPN,IPN80,80,42,4.9,3.9,6.64,58.9,14.7,5.81,2.77
IPN,IPN100,100,50,5.5,4.5,8.64,112.0,22.4,10.5,4.21
IPN,IPN120,120,58,5.5,5.1,10.9,191.0,31.8,18.6,6.42
IPN,IPN140,140,66,5.7,5.7,13.4,312.0,44.6,29.5,8.94
IPN,IPN160,160,74,6.0,6.3,16.3,474.0,59.2,44.3,11.9
IPN,IPN180,180,82,6.4,6.9,19.5,688.0,76.4,65.3,15.9
IPN,IPN200,200,90,6.9,7.5,23.0,964.0,96.4,95.3,21.2
IPE,IPE100,100,55,5.7,3.6,8.1,117.0,23.4,25.4,5.1
IPE,IPE120,120,64,6.3,3.8,10.4,201.0,33.5,46.8,9.1
IPE,IPE140,140,73,6.9,4.1,13.5,333.0,47.6,78.4,14.4
IPE,IPE160,160,82,7.4,4.7,17.9,626.0,78.3,96.6,23.5
IPE,IPE180,180,91,8.0,5.3,21.9,890.0,99.1,138.0,30.3
IPE,IPE200,200,100,8.5,5.6,26.2,1320.0,132.0,200.0,40.0
HEA,HEA100,96,100,8.0,5.0,21.2,306.0,63.8,181.0,36.3
HEA,HEA120,114,120,8.2,5.3,27.6,559.0,98.1,303.0,50.5
HEA,HEA140,133,140,8.5,5.5,35.3,939.0,141.0,509.0,72.8
HEA,HEA160,160,160,9.0,6.0,52.6,1910.0,239.0,635.0,79.4
HEA,HEA180,180,180,9.5,6.0,60.2,2670.0,297.0,891.0,99.0
HEA,HEA200,200,200,10.0,6.5,71.8,3910.0,391.0,1230.0,123.0
HEB,HEB100,100,100,10.0,6.0,26.7,422.0,84.4,146.0,29.2
HEB,HEB120,120,120,11.0,6.5,35.5,773.0,129.0,272.0,45.3
HEB,HEB140,140,140,12.0,7.0,46.2,1340.0,191.0,491.0,70.2
HEB,HEB160,160,160,11.5,6.5,65.2,2560.0,320.0,1430.0,178.0
HEB,HEB180,180,180,12.5,7.0,78.3,3700.0,411.0,1910.0,212.0
HEB,HEB200,200,200,13.0,7.5,102.0,7030.0,703.0,2580.0,258.0
